OBS,VNM_CAN_A,VNM_CANOTH_A,VNM_CANRATIO_A,VNM_CLIMLOSS_A,VNM_CMUD_A,VNM_CO2_A,VNM_COALC_A,VNM_CTAX_A,VNM_CTAXR_A,VNM_CXS_A,VNM_CXUD_A,VNM_DEP_A,VNM_EC_A,VNM_EFEX_A,VNM_EFF_A,VNM_ENAB_A,VNM_EXP_A,VNM_EXPE_A,VNM_EXPEB_A,VNM_EXPH_A,VNM_EXPHB_A,VNM_EXPSP_A,VNM_EXPSPB_A,VNM_EXR_A,VNM_FINC_A,VNM_GASC_A,VNM_GCARB_A,VNM_GCARBB_A,VNM_GCARBR_A,VNM_GCARBRB_A,VNM_GCOM_A,VNM_GCR_A,VNM_GDFXSH_A,VNM_GDI_A,VNM_GDN_A,VNM_GDNRATIO_A,VNM_GINI_DISP_A,VNM_GINT_A,VNM_GIP_A,VNM_GLN_A,VNM_GLNRATIO_A,VNM_GLNT_A,VNM_GOTH_A,VNM_GTRADE_A,VNM_GTRADER_A,VNM_HEAD19_A,VNM_HEAD55_A,VNM_HIC_A,VNM_IGR_A,VNM_INFT_A,VNM_INT_A,VNM_IPR_A,VNM_ITAX_A,VNM_ITAXR_A,VNM_ITR_A,VNM_K_A,VNM_LABSH_A,VNM_LFN_A,VNM_LFNF_A,VNM_LIVES_A,VNM_LNN_A,VNM_LNNF_A,VNM_LOCK_A,VNM_LRX_A,VNM_LRXF_A,VNM_LTI_A,VNM_MTD_A,VNM_MTN$_A,VNM_MTN_A,VNM_MTR$_A,VNM_MTR_A,VNM_OGC_A,VNM_OGI_A,VNM_OILC_A,VNM_OMS_A,VNM_OXS_A,VNM_PC_A,VNM_PCR_A,VNM_PE_A,VNM_PG_A,VNM_PM25_A,VNM_POIL_A,VNM_POPT_A,VNM_POPWA_A,VNM_POPWAF_A,VNM_PR_A,VNM_PREM_A,VNM_PROF_A,VNM_RC_A,VNM_REFEX_A,VNM_REL_RED_A,VNM_REMIT_A,VNM_REV_A,VNM_REVG_A,VNM_RPDI_A,VNM_SCR_A,VNM_SDLI_A,VNM_SHAREE_A,VNM_SHAREH_A,VNM_SHARESP_A,VNM_SHAREX_A,VNM_SOLV_A,VNM_TAX_A,VNM_TAXR_A,VNM_TECHL_A,VNM_TFP_A,VNM_URX_A,VNM_URXF_A,VNM_USER_A,VNM_WDR_A,VNM_XTD$_A,VNM_XTDNO$_A,VNM_XTN$_A,VNM_XTN_A,VNM_XTR$_A,VNM_XTR_A,VNM_YBAR_A,VNM_YED_A,VNM_YEN$_A,VNM_YEN_A,VNM_YER$_A,VNM_YER_A,VNM_YFT$_A,VNM_YFT_A
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,0,-1.70500055,0,,0,,0,0,0.01413944,-0.04717022,0,-0.00126451,0.11494496,0,,0,0,-1049.34847,360.1852523,-7481.327335,6848.672918,-14361.89102,21463.24195,1035.880833,0,0.05850424,-20279.56724,,,,-1917.367712,9168.492469,-0.02165666,0,74157.20513,0,0.00026467,-0.55132999,-1106.438771,0,0,3.06124132,,0,-0.01989904,-3.89778544,-12.00560164,,24077.24289,0.15,1.01416667,0.07581321,0,0.02211616,0,0,-0.00964907,0.00005381,0.0001348,-0.14643341,-0.01113597,-0.0123884,0,0.000100984,-0.002343,2.50607999,-0.04275565,0,0,0,0.01660121,8023.091118,-0.05171085,0.02556574,-0.00541882,-0.03483232,,0.02518915,,,,,875.626,620.9627701,227.3116091,,-14.05916628,-1630.340522,,0,3.31010305,32609.82972,0,2787.846878,0,-80447.56199,0,0,0,0,0,0,0,0.00902457,-0.02206694,0,0,0.07122287,1.60135016,0,-0.00903672,0.10967327,0,0,0,-0.01864214,-0.01429399,0.0175448,0,0,0,0,0,0.00012984
2011,0.00000398,-0.2128698,0,0.56499085,0,-0.03589364,0,0,0.00335702,0.00203024,0,0.00368835,0.11130802,0,0.01538081,0,-0.05871928,-2077.255725,1079.634926,-15203.73845,9550.220574,-30332.37215,23722.85039,1338.445833,0,-0.33378824,-26987.17917,-19164.60932,-3.04844901,-3.04844729,-3642.242801,4764.804764,-0.0242,0,172333.8845,0,-0.00224416,-0.92775538,-1929.6481,0,0,1.66785354,21949.64304,0,-0.01078655,-0.09374713,-0.2609999,0.07641986,23026.9971,0.15,6.08416667,-0.12457084,0,0.00150689,0,0,0.00274641,-0.00016179,-0.00008579,-0.08989553,-0.01868068,-0.01794408,0,0.004654803,-0.0003772,0.08150065,0.06637149,0,0,0,-0.034253,10299.45317,-0.1479689,-0.09896321,0.01782638,0.00884517,0.4211817,-0.01255534,-0.31893763,0.45836757,-0.02611851,0.60880924,903.867,76.24608848,192.9335676,0,7.20969961,0,0.18294864,0,3.4128456,-5936.089809,-0.00375488,-2121.235665,0,35086.42148,0,0,0,0,0,0,0,0.00488586,-0.00016939,0,0,-0.0734236,1.78666294,0,0.02267509,0.07490688,0,0,0,-0.01048553,0.01773132,0.01771617,0,0,0,0.1902159,0,-0.00916913
2012,-0.00005347,-3.74301316,0.00000018,0.55862764,0.00000007,-0.04795943,0,-0.094148,-0.00984752,-0.03612037,0.00000043,-0.00127557,0.01460036,-0.00000001,0.01538085,0,0,-1162.613604,870.343,-9857.170965,18706.11,-18809.53696,29484.2,-297.0425,3.19381652,-0.140135,-34651.61565,-21898.38,-9.11367828,-9.11368,1532.852905,-23439.38103,-0.00384646,0.02026233,62418.38053,-0.00000959,-0.00218704,0.89880221,3443.89761,0,0.00000039,-5.66651655,35721.92863,0.0632272,-0.00944315,-0.15602128,-0.61055585,0.00690255,-31157.42938,0.15,-6.0333333,-0.06741282,0.01746492,-0.02589515,0,-0.45135191,0.00477272,0.00440024,0.00274775,-0.06962069,-0.01946813,-0.01936696,0,0.003423964,0.0041614,-0.74027439,-0.02557175,0.00005811,0.435368,0.00001387,-0.01811822,26937.22707,0.20713025,-0.15845833,-0.01796261,-0.0067466,-0.40541482,-0.02206813,2.00729572,0.20411059,-0.03750884,0.01403788,930.618,77.03711027,132.5193351,0.00000007,1.32714008,0.2042057,0.07712501,-0.00000002,3.55150798,24922.25287,-0.09,-1956.316242,1.08113131,-110398.9064,-0.00000004,0,0,0,0,0,0.04669529,-0.00262062,0.00943575,0.00000018,-0.00000339,0.0065709,1.78073494,0.00006776,-0.00755346,-0.06213129,0.00000465,0.18195452,-0.00005645,0.10436483,0.00304861,0.01516315,-0.00000192,-0.3213225,-0.00004788,0.21,-0.00003657,-0.00118716
2013,0.00005156,-1.40978324,-0.00000029,0.56284118,0.00000038,-0.00672216,-0.0000001,-0.0708284,-0.0034081,-0.0472827,-0.00000031,-0.00190543,0.01754094,0.00000017,0.0153808,0,-0.04,-671.5312032,3465.08,-5129.112202,17522.26,-9415.863551,25631.5,-519.42,3.19382,-0.10756153,-11997.54389,64725.92,23.41031,23.41031,7310.721691,-18044.13102,-0.00126137,0.09599043,20341.49944,0.00000727,0.0005928,0.984489,6469.076414,0,0.00000028,-0.8303282,-43162.3,0.100602,-0.0013356,0.28712201,-0.6849765,-0.02598465,-12521.30391,0.15,-1.9725,-0.01384255,-0.09687132,0.0048001,0,-0.0522025,0.0001423,-0.00209574,-0.00691808,0.14104813,-0.01931276,-0.018399,0,0.01079955,0.0098609,-2.724339,0.01262166,-0.00000147,0.877892,-0.00003435,0.04405687,21219.4538,0.06852581,-0.08175757,-0.02117746,-0.0213538,-0.45272134,-0.03165724,-1.39367857,-0.07158589,-0.00220827,-0.06633046,950.875,77.87066364,79.17030506,0.00000028,52.54643319,0.111783,-0.01273691,0.00000009,3.37387358,13910.045,0,522.76505,-0.99707398,-19158.75546,-0.00000004,0,0,0,0,0,0.07825804,-0.0033889,0.02589669,-0.00000017,0.00000251,-0.05009509,0.52810511,-0.00027237,-0.02600029,-0.01669198,0.00005013,0.32457655,0.00010107,0.09908367,0.00199795,-0.0169262,0.00000187,-0.077702,0.00000065,0.04,-0.00000142,-0.00371309
2014,-0.0000126,-3.12946259,0.00000126,0.57079608,-0.00000052,0.01123214,-0.0000003,0.07575,-0.0227529,-0.0131584,-0.00000013,-0.00217413,0.0421035,-0.00000003,0.0153808,0,0,-526.772477,277.26,-4111.635145,4525.4,-7608.82265,9968,-413.4226,3.19381,-0.1032212,-7664.724923,12379.48,5.133421,5.133421,6611.51868,11782.46732,-0.0025478,0.59781312,44567.12391,-0.00000727,0.00032661,0.520002,3449.507326,0,-0.00000023,0.88213145,4191.6,0.0357395,0.0019908,0.37162204,-0.38240803,-0.01229672,23639.50025,0.15,-0.4741667,0.05444071,-0.15216348,0.0010104,0.1,0.393365,0.0049064,-0.00108504,-0.00294178,-0.18343243,-0.01656082,-0.01668326,0,0.001626247,0.0021723,-1.12128,0.00858203,0.00003036,0.77303,-0.00000549,0.04206989,4152.308072,-0.07452739,-0.07192596,-0.00370644,-0.0081704,-0.15685238,-0.01340971,-0.3145859,0.00607791,-0.04945746,-0.07139582,961.298,78.68008184,33.42444534,-0.00000031,-27.11094262,0.058425,-0.0266625,0.00000002,3.82352466,14030.77854,0.07,-474.4822255,0.03143621,-13124.59143,0.00000001,0,0,0,0,0,0.09429011,-0.0010454,-0.00142127,0,0.00001243,0.02280986,0.30548749,0.00021209,-0.01456873,0.00463096,0.00001776,-0.12984366,-0.00002715,0.06319696,-0.00111874,-0.00407978,0.00004708,-1.815816,0.00005012,0.37,0.0000466,0.00794657
2015,0.00000393,-7.46852005,0.0000002,0.58024414,0,-0.02423985,-0.0000002,0.0445613,-0.0099569,-0.0474615,0,-0.00143069,0.02535122,0.00000007,0.0153808,0,-0.5,28.73747954,675.7,247.5669704,17463.3,442.6617244,24207.5,-84.87,-0.05171,-0.14551885,-567.8081045,20276.901,6.0835346,6.0835346,21478.88459,-19730.96834,-0.00640772,0,-47968.31272,-0.00000713,-0.00027656,0.638191,3829.708043,-0.5,0.00000079,-0.09477415,75314.4,-0.183856,-0.0017146,0.24816408,0.05890964,-0.02574853,-19135.88293,0.15,-0.0208333,-0.02576425,0.135174,-0.0072511,0.1,-1.9476416,0.0037457,-0.00476063,0.00124533,0.01273093,-0.02469565,-0.0245347,0,-8.21765E-05,-0.0022181,-1.00044,0.02007837,0.00000106,0,0.00001181,0.07836487,23401.03869,0.1312389,-0.03695366,-0.01669966,-0.0253106,-0.11157891,-0.0028137,-1.1281663,-0.13753593,-0.07604547,-0.20590005,963.282,79.51197733,-29.799876,0.00000057,-25.05046394,0.45036256,-0.22229851,0.00000007,3.85841285,27729.65458,-0.071,1417.739694,-0.49976217,63339.00753,0.00000005,0,0,0,0,0,0.02733631,0.001611,-0.0087849,0.00000008,0.00000586,0.06364646,0.0206026,0.00016688,-0.02819767,-0.00116648,0.00000453,-0.43372604,-0.00002863,0.13595477,0.00027954,-0.00823606,0.00001356,0,-0.00000585,-0.31,0.00000509,0.0031783
2016,-0.00005523,-2.9336229,0.00000004,0.57907545,0.00000006,-0.06066562,0.0000004,0.0467219,-0.0115648,-0.0123864,0.00000004,-0.00135417,0.00711826,-0.00000036,0.0153808,0,-0.01,-172.4751805,471.11,-1529.006333,7945.7,-2508.537764,-6088,-359.253175,-0.05172,-0.21304201,-786.4746613,-624.761,-0.1470566,-0.1470566,6853.479571,8220.644204,-0.00271887,1.06083616,100554.0525,-0.00000297,0.00224011,-0.16418,-5794.490576,0,0.00000022,1.99872015,44576.2,0.067928,-0.0035813,0.10259697,-0.46225708,0.00492306,21010.83914,-0.1,-0.2658334,0.05116562,0.24449688,0.0007958,-0.4,-0.67887,0.0016841,0.00251226,-0.00092598,0.1083852,-0.02126435,-0.02111149,0,-0.001211558,-0.0014917,-0.1575,-0.01571128,0.00000891,0.310724,0.00007484,0.05985511,6901.885322,-0.05815661,-0.10479584,0.00083991,-0.0092191,0.00457937,-0.01078925,-0.08476646,-0.00756468,-0.08233761,-0.00435086,963.522,-256.9258278,-71.35524903,-0.00000061,12.42300931,0.343946,-0.00842497,0.00000029,4.49928157,14701.43635,-0.03,-3758.508164,-0.08086587,-21619.99861,0.00000005,0,0,0,0,0,-0.03542689,0.0030126,-0.01428702,0.00000008,0.00000865,0.00297786,0.02679351,-0.00038423,0.00017677,0.04848474,-0.00004532,-0.08664742,0.00001203,0.10880393,0.01206242,-0.015576,0.00002038,1.950062,0.00004826,-0.11,-0.0000048,0.00505129
2017,0.00003653,-5.92466515,-0.00000015,0.58773508,0.00000005,-0.02448383,0.0000004,0.0144548,0.0020994,0.0296959,-0.00000022,-0.00157615,0.01827153,0.00000024,0.0153808,0,0.04,-715.3483163,1978.15,-5799.837795,4276.4,-10735.43825,36876.2,-113.285,-0.05172,-0.27228458,-1433.772516,-1849.421,-0.450504,-0.450504,-9896.523832,20144.39643,-0.00490617,1.47205424,77295.65528,0.00000623,-0.0000096,0.141349,-552.7922493,0.3,0.00000018,1.3952449,61576.5,-0.157263,-0.0037255,0.40119336,0.60470985,-0.00376431,18201.36454,-0.1125,-0.8775,0.0056815,0.10588269,0.0016051,0.4,-0.425846,-0.0069973,0.00273965,-0.0032924,0.11648209,-0.02014803,-0.01979151,0,0.003954856,0.0016019,0.2325,-0.03444512,0.00004183,0.4904464,-0.00006966,0.067665,1213.547477,0.02989652,-0.10302608,0.00366573,0.0108867,0.0208535,-0.00897639,-0.43321903,0.0053211,-0.02509682,0.00876377,960.484,-259.5494273,-57.017407,0.00000037,5.84181415,0.567625,0.17678975,0.00000018,4.30608596,4845.537751,-0.319,-1336.834609,-0.99630744,-22700.19694,0.00000005,0,0,0,0,0,-0.01254521,0.0016519,-0.00629564,-0.00000017,-0.00000994,-0.01872086,0.04548692,-0.00047571,-0.0017544,0.02929973,0.00007913,-0.93277414,-0.00000441,0.08309132,0.00764225,0.00571044,0.0000672,1.44448,-0.00001603,-0.13,-0.00002381,-0.00106608
2018,0.00001605,2.2581815,0.00000015,0.59349462,-0.00000032,-0.04706696,-0.000001,0.0837584,0.0037416,0,0.00000012,-0.00103264,0.06625444,-0.0000001,0.0153808,0,0,-699.8106804,3086.24,-5376.767554,16279.3,-9136.953168,6137.3,-271.367025,0,-0.1847715,-4838.962973,-9729.119,-1.885487,-1.885487,-7524.700002,-632.1364308,-0.00257713,-0.46623617,48236.21025,0.0000056,-0.00026769,0.143287,-126.4368867,0.01,0.00000033,1.15457685,50086.3,0.239495,-0.0041874,0.42821503,0.45764566,-0.00184257,6606.161299,-0.125,-1.0266663,0.02569614,0.00850915,-0.0007719,0,1.263952,-0.0011224,-0.00313919,-0.00391247,-0.16004763,-0.0144489,-0.01469224,0,0.003146477,0.003045,0.548432,-0.03198339,0.00001632,0.110627,0.00002539,0.0455501,11797.57867,0.00880825,-0.07721684,-0.00080629,0,0.01084122,-0.00695908,-1.17677014,0.01404013,0.00171782,0.02076088,945.454,-262.1542463,-64.3973348,-0.00000101,-20.16867815,0.286703,-0.15940441,-0.0000001,4.88387252,4305.830251,0.025,-319.8810575,-0.55163516,-95446.79854,-0.00000003,0,0,0,0,0,-0.07875026,0.0025333,-0.01546783,-0.00000021,0.00001253,-0.02310691,0.13808808,0.00013129,0.00161764,-0.03448323,0.00002937,0.67913724,0.00004899,0.0631043,0.0046986,-0.00149335,0.00001363,2.7422,0.00002111,-0.3,-0.00004143,0.0014375
2019,-0.00002773,4.37905568,-0.00000255,0.59636767,-0.00000174,-0.04038103,-0.0000003,-0.0060224,-0.0002821,0,0.00000053,-0.00257148,0.04600716,-0.00000016,0.0153808,0,-0.02,-450.2169263,4576.12,-3490.282019,36902.7,-5875.458224,59595.3,-3.851,0,-0.22661351,-2461.127317,6793.815,1.6569,1.6569,18305.71637,-51391.68918,-0.00490475,0.14642638,-13697.85407,0.00000606,0,0.097791,6597.745753,0,-0.00000059,-2.84973905,57096.1,-0.0860677,-0.0023108,0.00000191,0.00001824,-0.0074848,-52382.05297,-0.1375,-0.380834,0.0981384,0.03083945,-0.0036838,0.6,5.415255,0,0.00406496,-0.0003735,-0.07970167,-0.03062013,-0.03149709,0,-0.001179074,-0.0016288,1.013821,-0.01936349,-0.00002768,-0.169388,0.00002763,0.04610457,50196.82346,0.25054049,-0.11932684,-0.00185171,0,-0.0554664,0.00240553,-0.51995101,-0.00188816,-0.01197579,-0.01931883,916.209,-264.6606723,-80.30102609,0.00000026,-48.57824578,-0.39640131,-0.34351679,0.00000046,4.39387791,17687.07948,0.025,-1234.707099,2.02251618,-73305.09749,-0.00000003,0,0,0,0,0,-0.11525895,0.0016082,-0.03350776,0.00000011,-0.00000653,0.19723866,0.06343288,0.00006235,-0.00409332,-0.01114445,-0.00005454,0.22071668,-0.00004115,0.07301541,-0.00278013,-0.0109667,-0.00006416,-1.862212,-0.00009508,-0.1,0.00006117,0.00853136
2020,0.00000534,-0.00003815,-0.00000147,0.56058176,0.00000008,0.05123702,0,-0.0129728,0,0,0.00000093,-0.00000005,-0.07718252,0.00000001,0.0153808,0,-0.17,-118.2015031,1103.95,-916.3506143,8558.3,-1609.729384,29336.9,-473.3848,0,-0.35613258,0.00049029,-213.208,0,0,10754.35071,118976.9192,0.00013423,-0.15553612,-58613.92744,-0.00000194,0.00000202,0,-0.04707265,0.3,-0.00000016,-2.79790385,-253482.3,-0.0806469,0,0.00000112,-0.00005779,0.00494843,30862.52804,0.1,-0.265833,-0.03822852,-0.16111505,0,0.2,-2.947745,0,0.00691664,0.00297081,0.25014277,-0.02475829,-0.02475845,57.7441,-0.016930743,0.0061489,0.94,-0.00000002,-0.00000067,-2.595904,-0.00010227,0.03188105,-119996.2373,0.03843619,-0.29308482,0.00104705,0,0.00000034,0.09548711,0.0000033,0.00000062,-0.02527046,-0.00002646,876.78,-267.0728096,-87.88789325,0.00000451,3.7102596,0.38823045,-0.08885544,0.00000034,4.15173307,-0.04856849,-2533.918,-1531.310832,-0.26115573,10153.52989,-0.0000005,0,0,0,0,0,-0.18605169,0,-0.02044459,0.00000184,-0.00001013,0.00000686,0.05997081,-0.00215947,0.00000332,0.01089144,0.00007596,-2.94613329,0.00001178,0.11775845,-0.00000028,-0.03070996,-0.00000839,-2.96927,0.00004288,0.4,0.00003873,0.01017448
2021,0.00002272,-0.00002328,0.00000616,0.59634412,0.00000066,0.00032487,0.0000009,-0.0017408,0,0,0.00000212,-0.00000015,-0.00797344,0.00000008,0.0153809,0,-6.23,-69.84555377,1438.54,-541.9043333,11152.3,-964.1648664,24675.7,148.08066,0,-0.0718367,0.00248362,-485.469,0,0,-10871.9609,58976.78479,-0.00627162,0.51745133,-83108.33562,-0.00000835,-0.00000005,-0.0000008,0.05309436,0.8,-0.00000079,0.62488005,-15525.5,-0.0947952,0,-0.00003294,-0.00015231,-0.00409227,10912.39036,0,0.0000002,-0.03761374,-0.17414019,0,0.3,4.51475,0,-0.00034271,-0.00084661,-0.04321397,-0.01106448,-0.01106466,15.03695,-0.000896598,0.0023512,0,-0.00000036,0.00004069,-3.209593,0.00003467,0.02204624,-54153.54368,0.05078648,-0.0281789,0.004865,0,0.00000134,0.05755386,-0.00000857,0.00000095,-0.01366878,0.00003586,830.526861,-240.7839487,-90.08792888,-0.00000028,0.07953542,-0.21814068,0.01346094,0.00000038,4.14608514,-0.53768406,-2838.347,2582.039509,-1.76935345,3742.932739,-0.00000001,0,0,0,0,0,-0.2054975,0,-0.01676087,-0.00000075,0.0000103,-0.00000316,0.06192115,-0.00258784,-0.00000016,0.00689359,0.00003515,-3.07945699,0.00004491,0.01469706,-0.00000453,-0.04039799,0.00002949,3.08758,-0.00003554,-0.2,-0.00006184,-0.00759886
